[2024-06-13 16:12:20] [DEBUG   ] discord.client: Dispatching event typing
[2024-06-13 16:12:20] [DEBUG   ] discord.client: Dispatching event raw_typing
[2024-06-13 16:12:21] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2024-06-13T09:12:20.324000+00:00', 'pinned': False, 'nonce': '1250739526062571520', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['932196595049586781'], 'premium_since': None, 'pending': False, 'nick': 'everyone', 'mute': False, 'joined_at': '2022-01-16T08:54:42.303000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, 'id': '1250739524779245618', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '$HI', 'components': [], 'channel_id': '1006510196174094357', 'author': {'username': 'naxocist', 'public_flags': 128, 'id': '549978500518379530', 'global_name': 'Naxocist', 'discriminator': '0', 'clan': None, 'avatar_decoration_data': None, 'avatar': '7841f61091bab444dfd94f7b06ffcc02'}, 'attachments': [], 'guild_id': '932196152491786300'}}
[2024-06-13 16:12:21] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2024-06-13 16:12:21] [DEBUG   ] discord.client: Dispatching event message
[2024-06-13 16:12:38] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2024-06-13 16:12:39] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2024-06-13 16:13:20] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2024-06-13 16:13:20] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2024-06-13 16:14:01] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2024-06-13 16:14:01] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2024-06-13 16:14:42] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2024-06-13 16:14:42] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2024-06-13 16:15:23] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2024-06-13 16:15:24] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2024-06-13 16:16:05] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2024-06-13 16:16:05] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
